Label,Text
0,E boy donated blood to his gf ! Two months later they broke up ? Boy- mujhe mera khoon lauta de !! Girl- (throw 
0,A boy donated blood to his gf ! Two months later they broke up ? Boy- mujhe mera khoon lauta de !! Girl- (throw 
0,just 
0,correct 
0,rt hny k timai pankh 15000 kamay th mainai..is baar paymaint nahi dai rahai hai 
0,rt hny k timai pai 15000 arjit th mainai..is baar paymaint nahi dai rahai hai 
0,rt chhalo achh h tumharai dost tumharai birthday ka chountdown kar aar h.but isk mtlb yaih thodi h ki usk ss lai k tum kahaanee da. 
0,bath just announced their funding statistics for their emerging startups in Saudi Arabia #Startup #News #Tech 
0,Badir just announced their funding statistics for their emerging startups in Saudi Arabia #Startup #News #Tech 
0,that fellow Tiwari must be getting part of the loot from 
0,That partner Tiwari must be getting part of the loot from 
0,rt alfaz hai mair kadava 
0,rt alfaz hai mair dveshapoorn 
0,"He does not have guts in his ball. He is loud bucca. Creater of stories, fake cds and what not. he. "
0,It is the mindset issue. Congress wants to induct AAP leader Sangeeta Chandpa recently. Mr.. 
0,BUT IS TV SHOW WHAT drink. 
0,RT that fellow Tiwari must be getting part of the loot from the 
0,RT That partner Tiwari must be getting part of the loot from the 
0,alfaz hai zyaada. 
0,koee nhi parwah 
0,koi nhi dekh-bhaal 
0,koee nhi chhahiyai tairi chhinaal chhut chhahiyai 
0,kissi nhi ga tairi chhinaal chhut ga 
0,aaj mainai fir jazbaat bhaijai..aaj tumnai fir alfaz hi samjhai..piyush mishr toh gazab ka talaint.. baaki rahi baat por 
0,aaj mainai fir jazbaat bhaijai..aaj tumnai fir alfaz keval samjhai..piyush mishr toh gazab ka talaint.. baaki rahi baat por 
0,good 
0,nice 
0,#chongraisspraisidaintrahulgandhi hahahah... kyon toh wahi hogy jaisai hafaiaiz syaiaid k bait atankwadi hi banaig... waisai ga 
0,#chongraisspraisidaintrahulgandhi hahahah... y isalie wahi hogy jaisai hafaiaiz syaiaid k bait atankwadi hi banaig... waisai ga 
0,first congress told no such meeting with pak and China authority but came and later we had a meeti 
0,First congress said no such meeting with pak and China authority but came and later we had a meeti 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,OMG! You have to see it. 
0,"Lol, the outstanding story, sir please provide us the mushroom details I will try to setup a res "
0,"Lol, the best story sir please provide us the mushroom details I will try to setup a res "
0,Not an Indian seaplane and certainly not a Gujrati pilot. Now I understand that #GujratModel is choice. 
0,RT last Year They Were like #Spyder gonna release so wished .. now don't say he wished for 
0,RT Last year They Were like #Spyder gonna release so wished .. now don't say he wished for 
0,mook #chhutiy 
0,chhup pankti 
0,last Year They Were like #Spyder gonna release so wished .. now don't say he wish 
0,Last year They Were like #Spyder gonna release so wished .. now don't say he wish 
0,friaind: aj sai kisy k bary maiin galat nahi bolaiingy. Me: han yar! *See a boy with sunglasses in mall* Both: he. 
